epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.368,1.45403,3.724,0.01858,0.43858,0.29804,0.29722,0.15168,1.60751,2.36922,0.02586,0.00333128,0.00333128,0.0700185
2,416.87,1.48079,2.62882,0.01928,0.54694,0.38482,0.39865,0.19501,1.69813,2.0859,0.02821,0.00644468,0.00644468,0.0397986
3,611.045,1.58149,2.47958,0.02101,0.51124,0.3861,0.39052,0.18738,1.78803,2.22191,0.03057,0.00933808,0.00933808,0.00935862
4,801.563,1.65289,2.41948,0.02205,0.57,0.44049,0.47533,0.23087,1.74759,1.826,0.02918,0.00901,0.00901,0.00901
5,980.514,1.60088,2.24552,0.0213,0.59942,0.44404,0.48778,0.24775,1.69363,1.80742,0.02779,0.00868,0.00868,0.00868
6,1148.89,1.58504,2.11251,0.02064,0.63531,0.49319,0.55313,0.28695,1.67248,1.58735,0.02733,0.00835,0.00835,0.00835
7,1317.34,1.55827,2.02863,0.02046,0.65754,0.52796,0.58221,0.3059,1.64801,1.51012,0.02691,0.00802,0.00802,0.00802
8,1485.8,1.53659,1.95044,0.02014,0.6708,0.53379,0.60225,0.32064,1.63338,1.45948,0.02597,0.00769,0.00769,0.00769
9,1655.53,1.52255,1.87675,0.01967,0.67052,0.54854,0.60514,0.32601,1.60976,1.43728,0.02583,0.00736,0.00736,0.00736
10,1826.61,1.50699,1.80545,0.01949,0.69674,0.57002,0.63311,0.34458,1.6118,1.35215,0.02587,0.00703,0.00703,0.00703
11,1996.65,1.49459,1.75357,0.01916,0.70593,0.58629,0.65036,0.35831,1.58212,1.32242,0.02509,0.0067,0.0067,0.0067
12,2166.35,1.47917,1.69215,0.01882,0.70902,0.5904,0.66279,0.3674,1.55463,1.27016,0.02459,0.00637,0.00637,0.00637
13,2336.43,1.45206,1.64808,0.01843,0.74299,0.58874,0.67564,0.37874,1.54429,1.24372,0.02415,0.00604,0.00604,0.00604
14,2505.93,1.44421,1.59501,0.01829,0.76015,0.59613,0.69069,0.3952,1.53164,1.21018,0.02398,0.00571,0.00571,0.00571
15,2676.48,1.42555,1.56322,0.01792,0.73736,0.61273,0.69106,0.39765,1.51397,1.20425,0.02349,0.00538,0.00538,0.00538
16,2845.84,1.40905,1.50724,0.01759,0.74595,0.62249,0.70453,0.41059,1.49678,1.17185,0.02307,0.00505,0.00505,0.00505
17,3015.75,1.39335,1.4801,0.01726,0.763,0.61759,0.71105,0.41239,1.50695,1.14933,0.0233,0.00472,0.00472,0.00472
18,3184.44,1.37978,1.42672,0.01716,0.77861,0.62718,0.71959,0.42267,1.502,1.11839,0.02303,0.00439,0.00439,0.00439
19,3353.16,1.36898,1.40048,0.0168,0.7582,0.638,0.7214,0.42798,1.49756,1.09881,0.02291,0.00406,0.00406,0.00406
20,3521.45,1.33675,1.33465,0.01643,0.77091,0.63936,0.73132,0.4346,1.48926,1.08104,0.02277,0.00373,0.00373,0.00373
21,3702.87,1.4103,1.15102,0.02168,0.76194,0.65664,0.73734,0.4417,1.48947,1.05377,0.02267,0.0034,0.0034,0.0034
22,3871.67,1.37586,1.08751,0.02081,0.77517,0.66265,0.74361,0.44743,1.47784,1.04464,0.02228,0.00307,0.00307,0.00307
23,4041.14,1.35045,1.01855,0.02022,0.77356,0.67294,0.74693,0.45245,1.47021,1.03626,0.02205,0.00274,0.00274,0.00274
24,4209.43,1.31815,0.97836,0.01948,0.77482,0.67561,0.75019,0.45648,1.46765,1.02895,0.022,0.00241,0.00241,0.00241
25,4395.2,1.28624,0.92753,0.01877,0.79827,0.663,0.75554,0.46141,1.46857,1.01378,0.02199,0.00208,0.00208,0.00208
26,4585.87,1.25207,0.90513,0.01802,0.78806,0.66832,0.75535,0.46208,1.46505,1.00146,0.02186,0.00175,0.00175,0.00175
27,4776.59,1.23153,0.855,0.01763,0.79244,0.67109,0.75828,0.46552,1.4588,0.99788,0.02176,0.00142,0.00142,0.00142
28,4964.91,1.20498,0.8315,0.01705,0.79014,0.67546,0.75835,0.46759,1.45594,0.9938,0.02167,0.00109,0.00109,0.00109
29,5154.98,1.17755,0.80097,0.01663,0.78822,0.67405,0.75901,0.46953,1.4523,0.98823,0.02159,0.00076,0.00076,0.00076
30,5343.29,1.15593,0.78196,0.01626,0.79301,0.67406,0.76071,0.47149,1.4502,0.98294,0.02155,0.00043,0.00043,0.00043
