epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.326,1.4767,3.74045,0.01756,0.47043,0.2958,0.30253,0.1585,1.58145,2.31201,0.02485,0.00348452,0.00348452,0.0701717
2,420.494,1.47706,2.62933,0.0178,0.56434,0.34248,0.37165,0.18963,1.64601,2.13462,0.02725,0.00674114,0.00674114,0.040095
3,614.374,1.51861,2.37559,0.01842,0.59548,0.42628,0.45912,0.23394,1.65053,1.86261,0.02724,0.00976763,0.00976763,0.00978817
4,804.662,1.52643,2.25606,0.0186,0.63405,0.48032,0.53123,0.26927,1.62351,1.65256,0.02682,0.00942446,0.00942446,0.00942446
5,996.109,1.52482,2.13751,0.01867,0.62727,0.48052,0.546,0.28134,1.64666,1.64327,0.02646,0.00907928,0.00907928,0.00907928
6,1186.42,1.5335,2.04814,0.01853,0.6412,0.51589,0.57248,0.29911,1.62758,1.56441,0.02649,0.0087341,0.0087341,0.0087341
7,1377.82,1.53397,1.97407,0.01867,0.65028,0.53474,0.5925,0.31377,1.60586,1.4794,0.02583,0.00838892,0.00838892,0.00838892
8,1568.71,1.52482,1.92129,0.01866,0.67668,0.53303,0.60706,0.32604,1.59552,1.42595,0.0254,0.00804374,0.00804374,0.00804374
9,1760.93,1.52375,1.87865,0.01838,0.69877,0.54859,0.62511,0.33796,1.58095,1.37408,0.02528,0.00769856,0.00769856,0.00769856
10,1951.35,1.52217,1.82837,0.01844,0.72931,0.56636,0.64382,0.35444,1.56841,1.33521,0.02495,0.00735338,0.00735338,0.00735338
11,2143.3,1.51325,1.79462,0.01828,0.71586,0.58112,0.64674,0.36159,1.56277,1.31463,0.02477,0.0070082,0.0070082,0.0070082
12,2334.8,1.51785,1.74399,0.01828,0.70547,0.59863,0.66565,0.36561,1.57337,1.27114,0.025,0.00666302,0.00666302,0.00666302
13,2526.49,1.49608,1.70035,0.01799,0.73434,0.5869,0.6699,0.37625,1.5415,1.2488,0.02405,0.00631784,0.00631784,0.00631784
14,2718.44,1.48869,1.67066,0.0178,0.74373,0.59745,0.68181,0.38108,1.54126,1.22975,0.02432,0.00597266,0.00597266,0.00597266
15,2909.77,1.48494,1.63328,0.01766,0.76327,0.60043,0.68883,0.38612,1.53452,1.20692,0.02436,0.00562748,0.00562748,0.00562748
16,3100.7,1.46804,1.58661,0.01734,0.75614,0.60799,0.69431,0.39541,1.52464,1.17988,0.02382,0.0052823,0.0052823,0.0052823
17,3292.58,1.46352,1.5603,0.01734,0.76504,0.60987,0.69979,0.39821,1.52137,1.147,0.02377,0.00493712,0.00493712,0.00493712
18,3483.09,1.45056,1.53583,0.01715,0.76078,0.61796,0.70665,0.4088,1.51407,1.14072,0.0236,0.00459194,0.00459194,0.00459194
19,3671.81,1.4379,1.5014,0.01684,0.76877,0.63147,0.71433,0.41494,1.50013,1.11557,0.02331,0.00424676,0.00424676,0.00424676
20,3864.56,1.41306,1.44682,0.01661,0.75239,0.64824,0.72267,0.42035,1.51165,1.09387,0.02334,0.00390158,0.00390158,0.00390158
21,4058.59,1.49663,1.34449,0.02327,0.77746,0.63227,0.72755,0.42736,1.49387,1.07834,0.02296,0.0035564,0.0035564,0.0035564
22,4232.15,1.47108,1.27597,0.02265,0.78582,0.63618,0.72924,0.43324,1.4895,1.07774,0.02297,0.00321122,0.00321122,0.00321122
23,4403.59,1.43391,1.19429,0.02169,0.79636,0.63382,0.73412,0.44044,1.47721,1.06245,0.02252,0.00286604,0.00286604,0.00286604
24,4575.53,1.40241,1.13325,0.02095,0.79809,0.64279,0.73905,0.44433,1.47678,1.03958,0.02251,0.00252086,0.00252086,0.00252086
25,4746.66,1.36772,1.06459,0.01999,0.79178,0.65528,0.74538,0.4502,1.47097,1.02591,0.02226,0.00217568,0.00217568,0.00217568
26,4918.11,1.32533,1.02351,0.01909,0.79914,0.65436,0.74768,0.45401,1.46374,1.01796,0.0221,0.0018305,0.0018305,0.0018305
27,5089.08,1.29731,0.95739,0.01854,0.80832,0.65375,0.75044,0.45899,1.45871,1.00615,0.02192,0.00148532,0.00148532,0.00148532
28,5258.72,1.2526,0.91821,0.01765,0.80301,0.66037,0.75251,0.46214,1.45413,0.99823,0.02187,0.00114014,0.00114014,0.00114014
29,5440.01,1.21806,0.86767,0.01707,0.8052,0.66154,0.75423,0.46437,1.45128,0.99503,0.02178,0.00079496,0.00079496,0.00079496
30,5618.97,1.18168,0.8355,0.01632,0.81234,0.65898,0.75605,0.46603,1.44956,0.98986,0.02172,0.00044978,0.00044978,0.00044978
