epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,422.333,1.46048,4.46992,0.01908,0.50873,0.35293,0.37422,0.18843,1.675,2.13384,0.02757,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184
2,747.209,1.55465,2.51234,0.02072,0.56989,0.4114,0.4345,0.20789,1.77793,1.90556,0.02896,0.0197976,0.00659919,0.0197976,0.00659919,0.0197976,0.00659919,0.0197976,0.00659919
3,1032.51,1.6695,2.5011,0.0225,0.46466,0.37805,0.38314,0.17483,1.85857,2.15711,0.03078,0.0294016,0.00980054,0.0294016,0.00980054,0.0294016,0.00980054,0.0294016,0.00980054
4,1302.87,1.69983,2.48935,0.02284,0.55063,0.44307,0.46349,0.21777,1.79402,1.81278,0.02959,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1574.73,1.65805,2.28765,0.02213,0.5895,0.47114,0.50556,0.24876,1.75072,1.72026,0.02899,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1850.3,1.62545,2.16,0.02158,0.65398,0.49161,0.55221,0.28961,1.66934,1.59307,0.02677,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2122.92,1.59501,2.03952,0.0212,0.65035,0.5165,0.57545,0.3033,1.64324,1.50299,0.02635,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2398.85,1.56764,1.97961,0.0206,0.67815,0.52236,0.59079,0.31082,1.63852,1.4763,0.02605,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2673.33,1.55965,1.907,0.02024,0.66923,0.55482,0.61685,0.32711,1.62425,1.39002,0.02598,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2947.99,1.5313,1.86119,0.01997,0.6789,0.55388,0.61492,0.33169,1.59904,1.37871,0.02526,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
