epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.082,1.47231,3.5828,0.01873,0.51107,0.30023,0.30685,0.15249,1.65973,2.35176,0.02791,0.0056067,0.0056067,0.072293
2,406.345,1.51837,2.58877,0.01951,0.50733,0.35381,0.3695,0.17587,1.74351,2.19866,0.02904,0.0111057,0.0111057,0.0444586
3,590.892,1.57363,2.40398,0.02044,0.58538,0.4069,0.43954,0.22275,1.68041,1.97179,0.02722,0.0164935,0.0164935,0.0165131
4,779.67,1.59673,2.30817,0.02069,0.59967,0.46539,0.50222,0.25874,1.68097,1.74557,0.02779,0.0163301,0.0163301,0.0163301
5,966.365,1.56993,2.19577,0.02031,0.59818,0.46444,0.51126,0.26297,1.64607,1.71986,0.02657,0.0161635,0.0161635,0.0161635
6,1146.82,1.56936,2.08866,0.02024,0.63852,0.51158,0.56689,0.29263,1.64002,1.56835,0.02621,0.0159969,0.0159969,0.0159969
7,1326.73,1.56133,2.02059,0.02017,0.69025,0.52583,0.60005,0.3189,1.62454,1.49419,0.02605,0.0158303,0.0158303,0.0158303
8,1507.03,1.54746,1.9567,0.0199,0.65435,0.5456,0.59653,0.31724,1.62485,1.50007,0.02633,0.0156637,0.0156637,0.0156637
9,1685.24,1.53758,1.89909,0.0196,0.6856,0.55772,0.62405,0.3406,1.60865,1.38615,0.02604,0.0154971,0.0154971,0.0154971
10,1860.65,1.53258,1.86608,0.01967,0.69212,0.54748,0.62237,0.33888,1.59459,1.37937,0.02534,0.0153304,0.0153304,0.0153304
11,2035.73,1.51885,1.82782,0.0195,0.69398,0.57375,0.64342,0.35475,1.57721,1.3383,0.02482,0.0151638,0.0151638,0.0151638
12,2210.3,1.5207,1.80065,0.01929,0.73734,0.5582,0.64946,0.35949,1.56286,1.31541,0.02465,0.0149972,0.0149972,0.0149972
13,2385.44,1.51832,1.77837,0.01932,0.73129,0.5813,0.66503,0.36995,1.54235,1.27603,0.02427,0.0148306,0.0148306,0.0148306
14,2560.61,1.50017,1.75004,0.01904,0.71901,0.5964,0.66983,0.37556,1.54819,1.25557,0.02438,0.014664,0.014664,0.014664
15,2736.31,1.49965,1.70749,0.01896,0.73976,0.5872,0.68077,0.38126,1.53593,1.23281,0.02411,0.0144974,0.0144974,0.0144974
16,2912.92,1.4935,1.70627,0.01871,0.7323,0.60536,0.68126,0.38722,1.51951,1.22751,0.02376,0.0143307,0.0143307,0.0143307
17,3089.47,1.48491,1.66173,0.01851,0.75116,0.59098,0.68364,0.3923,1.52526,1.21004,0.02368,0.0141641,0.0141641,0.0141641
18,3266.48,1.47904,1.64326,0.01876,0.74208,0.60551,0.68608,0.39661,1.5132,1.19829,0.02363,0.0139975,0.0139975,0.0139975
19,3442.96,1.48222,1.63205,0.01876,0.73382,0.63006,0.70067,0.40151,1.5104,1.18223,0.02371,0.0138309,0.0138309,0.0138309
20,3618.89,1.46623,1.60272,0.0184,0.76411,0.60861,0.70534,0.4085,1.50413,1.17021,0.02347,0.0136643,0.0136643,0.0136643
21,3797.17,1.45927,1.60789,0.01821,0.73635,0.63012,0.70306,0.4104,1.48672,1.17908,0.02314,0.0134977,0.0134977,0.0134977
22,3972.2,1.46289,1.5818,0.01827,0.76638,0.62477,0.7078,0.4159,1.48659,1.15826,0.02299,0.013331,0.013331,0.013331
23,4147.93,1.46232,1.57632,0.01833,0.77218,0.61193,0.70758,0.41525,1.4848,1.16084,0.02299,0.0131644,0.0131644,0.0131644
24,4323.98,1.45872,1.53707,0.01809,0.7637,0.62068,0.7103,0.41738,1.48377,1.1524,0.02292,0.0129978,0.0129978,0.0129978
25,4503.68,1.45151,1.51626,0.01812,0.75458,0.63224,0.71508,0.42067,1.49208,1.13555,0.02303,0.0128312,0.0128312,0.0128312
26,4684.26,1.44868,1.51874,0.01798,0.75261,0.63011,0.71455,0.42074,1.48726,1.12908,0.02294,0.0126646,0.0126646,0.0126646
27,4861.49,1.44046,1.51244,0.01787,0.76458,0.62107,0.71355,0.42143,1.48083,1.12587,0.02281,0.012498,0.012498,0.012498
28,5038.43,1.43941,1.48659,0.01779,0.75438,0.63257,0.71526,0.42397,1.47902,1.1184,0.02272,0.0123313,0.0123313,0.0123313
29,5214.9,1.43528,1.47081,0.01783,0.77323,0.62809,0.71784,0.42597,1.47789,1.11423,0.02268,0.0121647,0.0121647,0.0121647
30,5390.33,1.43432,1.46636,0.01774,0.76117,0.63706,0.72031,0.42819,1.47673,1.11048,0.02268,0.0119981,0.0119981,0.0119981
31,5565.67,1.42731,1.46034,0.01757,0.76981,0.63663,0.72182,0.42985,1.47368,1.1068,0.02261,0.0118315,0.0118315,0.0118315
32,5743.14,1.4256,1.43947,0.01768,0.76746,0.64097,0.72414,0.43126,1.47144,1.10349,0.02253,0.0116649,0.0116649,0.0116649
33,5919.73,1.41187,1.43653,0.01742,0.7652,0.64232,0.72282,0.4308,1.46919,1.10362,0.02248,0.0114983,0.0114983,0.0114983
34,6095.37,1.41537,1.42569,0.01749,0.76387,0.64266,0.72451,0.43233,1.46978,1.09857,0.02249,0.0113316,0.0113316,0.0113316
35,6271,1.41049,1.43085,0.01741,0.77845,0.63868,0.72578,0.43352,1.46464,1.10044,0.02239,0.011165,0.011165,0.011165
36,6446.17,1.40693,1.40625,0.01717,0.77386,0.64025,0.72497,0.43339,1.46218,1.09946,0.02232,0.0109984,0.0109984,0.0109984
37,6621.7,1.40623,1.3895,0.01714,0.76403,0.64425,0.72499,0.43456,1.46067,1.09911,0.02224,0.0108318,0.0108318,0.0108318
38,6797.65,1.39844,1.38131,0.01711,0.76167,0.64576,0.72599,0.43586,1.462,1.09256,0.02224,0.0106652,0.0106652,0.0106652
39,6972.98,1.39871,1.36828,0.01709,0.77361,0.64122,0.72609,0.43671,1.46203,1.08869,0.02226,0.0104986,0.0104986,0.0104986
40,7149,1.3832,1.36095,0.01693,0.77322,0.63799,0.72505,0.43733,1.46048,1.08775,0.0222,0.0103319,0.0103319,0.0103319
41,7325.43,1.37976,1.3616,0.01688,0.77044,0.64037,0.72689,0.43838,1.45825,1.08585,0.02213,0.0101653,0.0101653,0.0101653
42,7503.33,1.38096,1.33188,0.01678,0.76978,0.63892,0.72814,0.43938,1.45719,1.08496,0.02211,0.0099987,0.0099987,0.0099987
43,7678.99,1.37722,1.32344,0.01675,0.77544,0.64054,0.72988,0.43974,1.4552,1.08216,0.02209,0.00983209,0.00983209,0.00983209
44,7855.7,1.37403,1.31842,0.01653,0.76909,0.64481,0.73015,0.43992,1.45432,1.08107,0.02207,0.00966547,0.00966547,0.00966547
45,8032.44,1.37056,1.29139,0.01652,0.76109,0.65317,0.73072,0.44123,1.45027,1.07972,0.02198,0.00949885,0.00949885,0.00949885
46,8212.73,1.35813,1.28217,0.01641,0.76455,0.65181,0.73131,0.4419,1.44717,1.0788,0.02195,0.00933224,0.00933224,0.00933224
