fitness,lr0,momentum,weight_decay,hsv_s,hsv_v,scale
0.47149,0.01,0.937,0.0005,0.7,0.4,0.5
0.47167,0.00572,0.78209,0.005,0.9,0.29536,0.49295
0.46603,0.01046,0.78502,0.005,0.89963,0.30079,0.63452
0.47596,0.00579,0.91515,0.00333,0.85129,0.31512,0.49161
0.30714,0.00668,0.98,0.005,0.67249,0.28773,0.49091
0.46814,0.00573,0.78531,0.00475,0.89444,0.39856,0.49283
0.27232,0.01032,0.98,0.00351,0.66633,0.38017,0.6192
0.4727,0.00514,0.80937,0.005,0.9,0.2647,0.44418
0.45837,0.00496,0.84932,0.00175,0.85219,0.40265,0.54624
0.477,0.01211,0.75885,0.005,0.9,0.36897,0.46887
0.45974,0.00682,0.77844,0.00047,0.768,0.42787,0.41726
0.47133,0.00568,0.9188,0.00424,0.9,0.25552,0.52469
0.48129,0.01683,0.83308,0.00137,0.74985,0.29605,0.53722
0.45273,0.0134,0.85351,0.005,0.9,0.37389,0.38945
0.46318,0.0164,0.90028,0.00134,0.9,0.32788,0.47232
0.45509,0.01225,0.85599,0.00396,0.89146,0.28251,0.62972
0.4544,0.00448,0.82975,0.0019,0.88223,0.30693,0.64913
0.4698,0.00443,0.93222,0.00343,0.76246,0.29555,0.56483
0.23176,0.01369,0.98,0.00357,0.9,0.25443,0.45716
0.47636,0.01018,0.80084,0.0041,0.82552,0.36355,0.54277
0.48176,0.00672,0.91355,0.00241,0.8064,0.42482,0.38094
0.46279,0.00587,0.74458,0.00134,0.82373,0.4295,0.36503
0.48064,0.00557,0.89334,0.00189,0.7082,0.34954,0.45378
0.43625,0.00426,0.73661,0.00065,0.53703,0.34777,0.52221
0.46271,0.00467,0.85529,0.00198,0.68536,0.4773,0.54329
0.22088,0.01504,0.98,0.00335,0.799,0.33084,0.51675
0.48167,0.0088,0.84935,0.00072,0.85628,0.35978,0.40943
0.42005,0.00365,0.7285,0.00022,0.9,0.38683,0.44771
0.45167,0.00748,0.98,0.00024,0.83907,0.36406,0.36479
0.45712,0.01353,0.84047,0.0032,0.80628,0.24234,0.70951
0.45467,0.00643,0.94258,0.00334,0.9,0.38696,0.461
0.47597,0.01282,0.7,0.005,0.62242,0.33848,0.53466
0.47453,0.00925,0.83984,0.00117,0.7369,0.40115,0.48024
0.46957,0.01467,0.83092,0.00305,0.70003,0.484,0.46366
0.47967,0.01252,0.81814,0.00116,0.86042,0.42924,0.30714
0.45153,0.01234,0.92657,0.00192,0.82492,0.30689,0.49464
0.47625,0.011,0.90396,0.00199,0.7996,0.30566,0.34766
0.47559,0.01395,0.81077,0.00161,0.73919,0.31001,0.57004
0.45165,0.00559,0.98,0.00097,0.73758,0.32783,0.4417
0.45061,0.01126,0.89722,0.00395,0.71914,0.38217,0.36634
