epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,445.724,1.5848,3.1003,0.02138,0.55109,0.37182,0.4065,0.19892,1.78642,1.96085,0.03027,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184
2,791.987,1.60286,2.28957,0.02158,0.56368,0.38351,0.42498,0.20765,1.80049,1.96773,0.03068,0.0197976,0.00659919,0.0197976,0.00659919,0.0197976,0.00659919,0.0197976,0.00659919
3,1104.94,1.69914,2.33825,0.02313,0.55306,0.38858,0.41494,0.18758,1.8767,2.00799,0.03166,0.0294016,0.00980054,0.0294016,0.00980054,0.0294016,0.00980054,0.0294016,0.00980054
4,1407.29,1.72233,2.35187,0.02342,0.61918,0.45487,0.49959,0.23763,1.81988,1.69229,0.03076,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1711.52,1.65262,2.17653,0.02213,0.60681,0.47128,0.52353,0.25787,1.7376,1.66131,0.02833,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2014.47,1.61277,2.03458,0.02149,0.64811,0.50163,0.56352,0.28874,1.67872,1.52687,0.02699,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2313.66,1.57694,1.90912,0.02094,0.66953,0.53534,0.59898,0.31651,1.67809,1.40315,0.02668,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2613.99,1.54594,1.82469,0.0203,0.67507,0.55662,0.62166,0.33967,1.5919,1.33527,0.02532,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2914.35,1.52984,1.75084,0.01972,0.71471,0.57014,0.6424,0.35257,1.60085,1.29241,0.02554,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3213.89,1.50706,1.68951,0.01957,0.69192,0.58804,0.64441,0.35698,1.59958,1.28041,0.02502,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3514.05,1.48033,1.64043,0.01902,0.73321,0.58949,0.66529,0.36993,1.57247,1.22351,0.02499,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3813.84,1.47421,1.56559,0.01879,0.74287,0.61256,0.68468,0.38962,1.55255,1.17495,0.02431,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4113.14,1.45549,1.53734,0.01863,0.75054,0.60067,0.68766,0.39397,1.52381,1.1726,0.02369,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4412.93,1.44167,1.50932,0.01824,0.77706,0.62206,0.70696,0.41082,1.5082,1.12249,0.02316,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4712.64,1.41898,1.473,0.01787,0.75241,0.62161,0.7102,0.42224,1.48239,1.11038,0.02254,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5012.96,1.40936,1.44102,0.01769,0.78943,0.62009,0.71339,0.42192,1.49584,1.09091,0.02283,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5312.44,1.39849,1.40509,0.01753,0.75768,0.63816,0.72281,0.43309,1.46988,1.08196,0.02236,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5612.09,1.38292,1.37312,0.01725,0.77376,0.65195,0.73287,0.44371,1.46268,1.04087,0.02217,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5912.12,1.36765,1.35064,0.01693,0.77218,0.65406,0.73735,0.44646,1.45671,1.04166,0.02183,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6211.71,1.35794,1.30702,0.01683,0.78685,0.64992,0.73876,0.45316,1.44095,1.03941,0.02159,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6512.06,1.34941,1.29761,0.01661,0.78825,0.65783,0.74558,0.45771,1.43943,1.02109,0.02159,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6811.41,1.33833,1.27026,0.01646,0.79069,0.66428,0.75078,0.46294,1.43558,1.01046,0.02146,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7110.63,1.33529,1.25781,0.01633,0.81348,0.65068,0.75062,0.46581,1.42382,1.01364,0.02126,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7409.04,1.3214,1.22335,0.01607,0.80425,0.65607,0.75214,0.46821,1.41802,1.00855,0.02117,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7708.6,1.315,1.21904,0.016,0.79331,0.6609,0.75412,0.46958,1.42021,0.99607,0.02111,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8008.22,1.29855,1.19595,0.01566,0.80034,0.65508,0.75368,0.47137,1.41862,0.99665,0.02108,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8307.58,1.30132,1.1794,0.01564,0.7802,0.67364,0.75712,0.47424,1.41877,0.98407,0.02105,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8607.39,1.29031,1.15452,0.01547,0.78542,0.67457,0.75876,0.4769,1.41123,0.98601,0.02089,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8906.71,1.28413,1.143,0.01546,0.79835,0.66694,0.75929,0.47807,1.41051,0.98201,0.02083,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9206.49,1.2743,1.12739,0.01519,0.80164,0.66807,0.76077,0.47967,1.40975,0.9766,0.02083,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9505.72,1.26576,1.12317,0.01513,0.79148,0.67346,0.76136,0.48128,1.40662,0.97533,0.02071,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9804.86,1.26585,1.10938,0.01514,0.80554,0.66507,0.76148,0.48247,1.40205,0.97748,0.02059,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10103.8,1.24694,1.08546,0.01484,0.80647,0.66781,0.76284,0.48397,1.3976,0.97781,0.02053,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10403.5,1.2582,1.07208,0.01501,0.79071,0.67844,0.76282,0.48463,1.39663,0.97515,0.02052,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10702.2,1.24666,1.08139,0.01493,0.80364,0.67151,0.76326,0.48534,1.39702,0.96956,0.02056,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11001.4,1.23479,1.04421,0.01457,0.80303,0.67234,0.76307,0.48566,1.39509,0.96792,0.02052,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11299.2,1.22738,1.0476,0.01445,0.80085,0.68184,0.76498,0.48771,1.39296,0.96466,0.0205,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11599,1.21466,1.03691,0.0143,0.8004,0.68323,0.76571,0.48854,1.38956,0.96453,0.02044,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11899.1,1.21486,1.0244,0.01424,0.80852,0.6813,0.76622,0.48939,1.3864,0.96279,0.02036,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12198.1,1.21018,1.00145,0.01423,0.80211,0.6868,0.76706,0.49044,1.38132,0.9632,0.02028,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12497.7,1.2057,1.00331,0.01415,0.80644,0.67911,0.76512,0.49006,1.37908,0.96623,0.02023,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12797.3,1.18246,0.9778,0.01378,0.80607,0.6758,0.76534,0.49134,1.37486,0.96417,0.0202,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13096.6,1.18583,0.97604,0.01381,0.80189,0.68416,0.7654,0.49246,1.37236,0.96079,0.02012,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13396,1.17975,0.95688,0.01371,0.80419,0.67985,0.76639,0.49355,1.36766,0.96223,0.02002,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13696,1.16945,0.94623,0.01348,0.80096,0.68389,0.76646,0.49442,1.36411,0.96113,0.01998,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13995,1.16782,0.94554,0.01349,0.80432,0.68334,0.7669,0.49547,1.36154,0.96004,0.01993,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14294.1,1.16212,0.93188,0.01346,0.81361,0.67379,0.76699,0.49636,1.35955,0.95794,0.01991,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14592.4,1.15566,0.92504,0.01327,0.81781,0.67331,0.76826,0.49789,1.35889,0.9504,0.01988,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14891.7,1.14579,0.89827,0.01313,0.81903,0.67253,0.76809,0.49845,1.35729,0.94997,0.01982,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15191.5,1.13573,0.90186,0.01308,0.80811,0.68304,0.7682,0.49998,1.35553,0.94592,0.01977,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15490.8,1.13354,0.88428,0.01293,0.80392,0.68535,0.76815,0.50048,1.35283,0.95111,0.0197,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15789.2,1.13098,0.87935,0.01287,0.81073,0.68492,0.77018,0.50217,1.35119,0.94629,0.01965,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16089.9,1.12231,0.86237,0.01283,0.80576,0.68755,0.77,0.50241,1.34957,0.94735,0.01962,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16390.4,1.11096,0.85538,0.0126,0.80772,0.68749,0.77126,0.50454,1.34527,0.94667,0.01957,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16689.2,1.1085,0.85433,0.01259,0.80681,0.69205,0.77291,0.50607,1.34504,0.94123,0.01957,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16989.3,1.09441,0.83783,0.01239,0.81494,0.6841,0.77315,0.50698,1.34273,0.93989,0.01951,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17289.5,1.096,0.83522,0.01236,0.81805,0.68474,0.77459,0.50798,1.34159,0.93834,0.01948,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17589,1.08562,0.82812,0.01218,0.81734,0.68683,0.77424,0.50833,1.33995,0.93584,0.01946,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17888.1,1.07783,0.81166,0.01213,0.8171,0.68854,0.77453,0.50862,1.33959,0.93386,0.01944,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18187.6,1.07254,0.79786,0.01202,0.81651,0.69375,0.77499,0.50961,1.33977,0.92792,0.01944,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18487.1,1.05514,0.7938,0.0117,0.8017,0.70582,0.77581,0.5112,1.3368,0.92645,0.01939,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18786.6,1.0609,0.77594,0.0118,0.80687,0.70571,0.77756,0.51305,1.33655,0.91872,0.01938,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19085.6,1.04719,0.78516,0.01167,0.80861,0.70282,0.7767,0.51367,1.3348,0.9189,0.01934,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19384.8,1.0428,0.77105,0.01164,0.81161,0.70116,0.7775,0.51425,1.33283,0.91954,0.01931,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19684.6,1.03107,0.7627,0.01142,0.81076,0.70051,0.77682,0.51433,1.33125,0.92104,0.01929,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19982.7,1.01981,0.74512,0.01129,0.81021,0.70338,0.77679,0.51456,1.32978,0.92008,0.01922,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20281.5,1.01019,0.73984,0.01115,0.81754,0.70161,0.77796,0.51606,1.32735,0.92083,0.01918,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20581.2,1.00969,0.73024,0.01107,0.82172,0.70248,0.77856,0.51655,1.32669,0.91974,0.01917,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20880.9,1.00247,0.72209,0.01104,0.82083,0.7032,0.7787,0.51717,1.32665,0.91941,0.01919,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
